id,"accession","source_link","study_title","organism","date_last_update","number_of_samples","study_category","summary","curated","pL_apt","gene_study","disease_study","drug_study"
28,"GSE77703","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77703"," Distinct and shared functions of ALS-associated TDP-43, FUS, and TAF15 revealed by comprehensive multi-system integrative analyses [RNA-Seq_mouse]","Mus musculus","7/5/16","4","RNA-Seq","  TDP-43 FUS and TAF15 are implicated in amyotrophic lateral sclerosis (ALS) and frontotemporal dementia. We integrate CLIP-seq and RNA Bind-N-Seq technologies to discover that TAF15 binds to ~4	900 RNAs enriched for GGUA motifs. In the mouse brain TAF15 and FUS but not TDP-43 exhibit strikingly similar RNA binding profiles yet they alter the expression of distinct mRNA populations upon their individual depletions. TAF15 has a minimal role in alternative splicing and instead affects RNA turnover consistent with an enrichment of TAF15 binding sites in 3\\x89\\xdb\\xaa untranslated regions. In human stem cell-derived motor neurons loss of both TAF15 and FUS affected mRNAs distinct from those altered by loss of either protein alone revealing redundant roles for TAF15 and FUS in maintaining mRNA levels. Furthermore concomitant rather than individual depletion of TAF15 and FUS more closely resembles RNA profiles of motor neurons derived from FUS R521G ALS patients or from late-stage sporadic ALS patients. Our study reveals convergent and divergent mechanisms by which FUS TAF15 and TDP-43 affects RNA metabolism in neurological disease.																																																																																										","1","1","1",NULL,NULL
31,"GSE82300","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82300","Transcriptome of Shox2+ cells in the developing limb","Mus musculus","7/5/16","9","RNA-Seq","  Vertebrate appendage patterning is programmed by Hox-TALE factors-bound regulatory elements. However it remains enigmatic which cell lineages are commissioned by Hox-TALE factors to generate regional specific pattern and whether other Hox-TALE co-factors exist. In this study we investigated the transcriptional mechanisms controlled by the Shox2 transcriptional regulator in limb patterning. Harnessing an osteogenic lineage-specific Shox2 inactivation approach we show that despite widespread Shox2 expression in multiple cell lineages lack of the stylopod observed upon Shox2 deficiency is a specific result of Shox2 loss of function in the osteogenic lineage. ChIP-Seq revealed robust interaction of Shox2 with cis-regulatory enhancers clustering around skeletogenic genes that are also bound by Hox-TALE factors supporting a lineage autonomous function of Shox2 in osteogenic lineage fate determination and skeleton patterning. Pbx ChIP-Seq further allowed the genome-wide identification of cis-regulatory modules exhibiting co-occupancy of Pbx Meis and Shox2 transcriptional regulators. Integrative analysis of ChIP-Seq and RNA-Seq data and transgenic enhancer assays indicate that Shox2 patterns the stylopod as a repressor via interaction with enhancers active in the proximal limb mesenchyme and antagonizes the repressive function of TALE factors in osteogenesis.																																																																																																	",NULL,NULL,"",NULL,NULL
37,"GSE81329","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81329","MEIS2 is a novel oncogenic partner in AML1-ETO positive AML [RNA-Seq mouse]","Mus musculus","7/4/16","8","RNA-Seq","  MEIS2 collaborates with AML1-ETO in inducing acute myeloid leukemia in a murine bone marrow transplantation model																																																																																																							","2","0","1",NULL,NULL
41,"GSE83356","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83356","RNA-seq analysis of neonatal mouse cochlear supporting cells [NonTreated_JM]","Mus musculus","7/1/16","8","RNA-Seq","  This study examined transcripts that are enriched in neonatal mouse cochlear supporting cells at postnatal day 1 and postnatal day 6. Supporting cells were purified by FACS sorting for GFP fluorescence from the cochleas of transgenic mice in which a BAC including the LFng locus drives the expression of GFP. Two replicates of GFP+ supporting cells were compared with all other cochlear cell types that were GFP-. We performed this experiment at two different ages postnatal day 1 and postnatal day 6.																																																																																																						","2","0",NULL,NULL,NULL
49,"GSE78996","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78996","Characterisation of Transcriptional Changes in the Spinal Cord of the Progressive Experimental Autoimmune Encephalomyelitis ABH Mouse Model by RNA Sequencing","Mus musculus","7/1/16","6","RNA-Seq","  RNA sequencing was used to explore global gene expression in the chronic relapsing and secondary progressive EAE (pEAE) Biozzi ABH mouse model of MS. Spinal cord tissue RNA from pEAE Biozzi ABH mice and healthy littermate controls was sequenced. 2	072 genes were differentially expressed (q&lt;0.05) from which 1	397 were significantly upregulated and 675 were significantly downregulated. This hypothesis-free investigation characterised the genomic changes that describe the pEAE mouse model.																																																																																																					",NULL,NULL,NULL,NULL,NULL
71,"GSE77374","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77374","RNA-seq data from murine eGFP+ relbfl/flnfkb2fl/flCg1-Cre and Cg1-Cre splenic germinal center B cells purified by fluorescent activated cell sorting.","Mus musculus","7/1/16","5","RNA-Seq","  RNA-seq analysis of murine eGFP+ relbfl/flnfkb2fl/flCg1-Cre and Cg1-Cre splenic germinal center B cells identifies genes regulated by the transcription factors RELB and p52 (NF-kB2) in germinal center B cells.																																																																																																							",NULL,NULL,NULL,NULL,NULL
72,"GSE77443","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77443","Cell fusion-mediated pluripotent reprogramming triggers ordered changes in chromatin and gene expression across the human inactive X chromosome","Homo sapiens x Mus musculus hybrid cell line; Homo sapiens","7/1/16","4","RNA-Seq","  Erasure of epigenetic memory is required to convert somatic cells towards pluripotency. Reactivation of the inactive X chromosome (Xi) has been used to model epigenetic reprogramming in mouse but human studies are hampered by Xi epigenetic instability and difficulties in tracking partially reprogrammed iPSCs. Here we used cell fusion to examine the earliest events in the reprogramming-induced Xi reactivation of human female fibroblasts. We show a rapid and widespread loss of Xi-associated H3K27me3 and XIST in fused cells that precedes the bi-allelic expression of selected Xi-genes by many heterokaryons (30-50%). After cell division RNA-FISH and RNA-Seq analysis confirmed that Xi reactivation remained partial and showed that induction of human pluripotency-specific XACT transcripts occurred but was rare (1%). These data effectively separate pre- and post-mitotic events in reprogramming-induced Xi reactivation and suggest a hierarchy where early events such as XIST-delocalisation are required but are insufficient to establish stable human X reactivation.																																																																																																		",NULL,NULL,NULL,NULL,NULL
100,"GSE80745","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80745","RNA sequencing expression analysis of murine MLL-AF9;NRAS acute myeloid leukemia cells silenced for E2-2.","Mus musculus","6/29/16","6","RNA-Seq","  We investigated the role of the transcriptional regulators Id2 and E2-2 (encoded by Tcf4) in the context of MLL-rearranged acute myeloid leukemia (AML). Using an AML mouse model driven by a Tet-off inducible MLL-AF9 allele co-expressed with oncogenic NRASG12D we demonstrated that MLL-AF9 regulates the E protein pathway by suppressing Id2 while activating the expression of its target E2-2. Moreover we found that Id2 over-expression in MLL-AF9 AML cells results inhibition of leukemia growth loss of leukemia stem cell-associated gene expression pattern and induction of differentiation. E2-2 silencing phenocopies Id2 overexpression in MLL-AF9-AML cells. To study the gene expression changes associated with E2-2 depletion in the context of MLL-rearranged AML RNA sequencing analysis was performed on MLL-AF9;NRAS AML cells transduced with vectors expressing hairpins against E2-2 (shTcf4#654 and shTcf4#3646) or a control hairpin against Renilla luciferase (shRen).																																																																																																		",NULL,NULL,NULL,NULL,NULL
101,"GSE71873","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71873","Genome-wide analysis of gene expression using in vitro cultured control and Lats1/2 deficient hepatoblasts [RNA-Seq]","Mus musculus","6/29/16","8","RNA-Seq","  RNA-sequencing results with in vitro cultured control and Lats1/2 deficient hepatoblasts in vitro differentiated control and Lats1/2 deficient hepatocytes and biliary epithelial cells																																																																																																						",NULL,NULL,NULL,NULL,NULL
108,"GSE64080","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64080","RNA-Seq of Cultured Mouse Podocytes","Mus musculus","6/28/16","4","RNA-Seq","  Investigation of mRNA changes in podocytes transfected with a miR-93 mimic or a nontargeting mimic.																																																																																																							",NULL,NULL,NULL,NULL,NULL
