id,"accession","source_link","study_title","organism","date_last_update","number_of_samples","study_category"
1,"GSE81321","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81321","MEIS2 is a novel oncogenic partner in AML1-ETO positive AML [ChIP-Seq]","Homo sapiens","2016-07-04","2",""
2,"GSE81329","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81329","MEIS2 is a novel oncogenic partner in AML1-ETO positive AML [RNA-Seq mouse]","Mus musculus","2016-07-04","8","rna_seq"
3,"GSE81328","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81328","MEIS2 is a novel oncogenic partner in AML1-ETO positive AML [RNA-Seq human]","Homo sapiens","2016-07-04","8","rna_seq"
4,"GSE81402","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81402","Analysis of chromosomal aberrations and recombination by allelic bias in RNA-Seq","Homo sapiens","2016-07-04","13","rna_seq"
5,"GSE79492","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79492","Ridaforolimus (MK-8669) synergizes with Dalotuzumab (MK-0646) in hormone-sensitive breast cancer","Homo sapiens","2016-07-01","46",""
6,"GSE81889","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81889","Type 1 interferons induce changes in core metabolism that are critical for immune function","Mus musculus","2016-07-01","11",""
7,"GSE75947","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75947","SPECtre: a spectral coherence-based classifier of actively translated transcripts from ribosome profiling sequence data","Homo sapiens","2016-07-01","1",""
8,"GSE70436","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70436","Ground state of pluripotency cannot be maintained in mouse embryonic stem cells upon prolonged inhibition of GSK3","Mus musculus","2016-07-01","10",""
9,"GSE79638","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79638","Arid3a is required for mammalian placenta development","Mus musculus","2016-07-01","6",""
10,"GSE78996","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78996","Characterisation of Transcriptional Changes in the Spinal Cord of the Progressive Experimental Autoimmune Encephalomyelitis ABH Mouse Model by RNA Sequencing","Mus musculus","2016-07-01","6","rna_seq "
11,"GSE81577","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81577","Gene expression profiling of Eed knockout and Ezh2 knockout small intestinal crypts [ChIP-seq]","Mus musculus","2016-07-01","5",""
12,"GSE81576","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81576","Gene expression profiling of Eed knockout and Ezh2 knockout small intestinal crypts [RNA-seq]","Mus musculus","2016-07-01","13","rna_seq"
13,"GSE81179","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81179","Genome-wide Runx1 binding sites in early hematopoietic progenitors (FDCP1)","Mus musculus","2016-07-01","4",""
14,"GSE81181","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81181","Gene expression analysis to identify Runx1 target genes in GMP, MEP and Gene expression signature of Runx1_/_ lin- sca- kit+ CD105- CD16/32+ CD150+ (XMP) progenitors","Mus musculus","2016-07-01","10",""
15,"GSE82043","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82043","Itaconate links inhibition of succinate dehydrogenase with macrophage metabolic remodeling and regulation of inflammation","Mus musculus","2016-07-01","18",""
16,"GSE77443","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77443","Cell fusion-mediated pluripotent reprogramming triggers ordered changes in chromatin and gene expression across the human inactive X chromosome","Homo sapiens; Homo s","2016-07-01","4",""
17,"GSE77374","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77374","RNA-seq data from murine eGFP+ relbfl/flnfkb2fl/flCg1-Cre and Cg1-Cre splenic germinal center B cells purified by fluorescent activated cell sorting.","Mus musculus","2016-07-01","5","rna_seq"
18,"GSE83482","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83482","Multiple Origins of Virus Persistence during Natural Control of HIV Infection","Homo sapiens","2016-07-01","82",""
19,"GSE83356","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83356","RNA-seq analysis of neonatal mouse cochlear supporting cells [NonTreated_JM]","Mus musculus","2016-07-01","8","rna_seq"
20,"GSE83340","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83340","RNA-seq analysis of neonatal mouse cochlear supporting cells [Treated AK]","Mus musculus","2016-07-01","16","rna_seq"
21,"GSE72196","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72196","Histone deacetylase 3 in concert with MeCP2 and FoxO regulate autism-associated behaviors.","Mus musculus","2016-07-01","14",""
22,"GSE73470","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73470","Identification of Resistance Genes to BRAF Inhibitor in Melanoma by piggyBac Transposon Activation Mutagenesis Screen","Homo sapiens","2016-07-01","8",""
23,"GSE71376","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71376","Identification of E2F targets in MEFs","Mus musculus","2016-07-01","5",""
24,"GSE71843","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71843","Mouse Synovial Sarcoma Models","Mus musculus","2016-07-01","6",""
25,"GSE73528","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73528","ASH1L links histone H3 lysine 36 di-methylation to leukemia","Homo sapiens","2016-07-01","8",""
26,"GSE70150","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70150","Time course of androgen-regulated transcripts in LNCaP cells","Homo sapiens","2016-07-01","6",""
27,"GSE63510","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63510","Nck2 Regulates Adiposity and Adiposity-Related Metabolic Disorders in Mice and Human","Mus musculus","2016-07-01","4",""
28,"GSE70520","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70520","Dysregulated TLR7 signaling drives anemia via development of hemophagocytic macrophages","Mus musculus","2016-07-01","6",""
29,"GSE71543","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71543","Next generation sequencing identifies small RNA expression in FLT3-ITD+ AML (MV4-11) cell lines","Homo sapiens","2016-07-01","3","rna_seq"
30,"GSE71541","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71541","Expression profile of wild type (WT) vs miR-155-/- in FLT3-ITD+ AML (MV4-11) cell lines","Homo sapiens","2016-07-01","9",""
31,"GSE71539","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71539","Genome-wide CRISPR-Cas9 screen identifies protein-coding genes and microRNAs important in FLT3-ITD+ AML (MV4-11) cellular growth","Homo sapiens","2016-07-01","6","rna_seq"
32,"GSE83584","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83584","Transcriptome profiling of self-renewing hESCs and multipotent mesoderm progenitor cells as a function of substrate stiffness","Homo sapiens","2016-07-01","8",""
33,"GSE79573","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79573","Combined RNA-seq and Polr2a ChIP-seq Identifies Gene Targets for Transcriptional Regulation in Vasopressin-Sensitive Collecting Duct Cells","Mus musculus","2016-07-01","12","rna_seq "
34,"GSE79525","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79525","Combined RNA-seq and ChIP-seq Identifies Gene Targets for Transcriptional Regulation in Vasopressin-Sensitive Collecting Duct Cells [RNA-seq]","Mus musculus","2016-07-01","18","rna_seq "
