GSE57680,GSM1386589,Msx1-2 (d-d) KO - LCM RNA-Seq - Luminal Epithelium,RNA-Seq
GSE57680,GSM1386590,Msx1-2 (f-f) WT - LCM RNA-Seq - Luminal Epithelium,RNA-Seq
GSE57680,GSM1386591,Msx1-2 (d-d) KO - LCM RNA-Seq - Stroma,RNA-Seq
GSE57680,GSM1386592,Msx1-2 (f-f) WT - LCM RNA-Seq - Stroma,RNA-Seq
GSE64408,GSM1570762,CD4 T cells Mock-transduced BR1 RNA-Seq,RNA-Seq
GSE64408,GSM1570763,CD4 T cells Mock-transduced BR2 RNA-Seq,RNA-Seq
GSE64408,GSM1570764,CD4 T cells CA-RIT-NFAT1-transduced BR1 RNA-Seq,RNA-Seq
GSE64408,GSM1570765,CD4 T cells CA-RIT-NFAT1-transduced BR2 RNA-Seq,RNA-Seq
GSE64408,GSM1570766,CD8 T cells Mock-transduced BR1 RNA-Seq,RNA-Seq
GSE64408,GSM1570767,CD8 T cells Mock-transduced BR2 RNA-Seq,RNA-Seq
GSE64408,GSM1570768,CD8 T cells CA-RIT-NFAT1-transduced BR1 RNA-Seq,RNA-Seq
GSE64408,GSM1570769,CD8 T cells CA-RIT-NFAT1-transduced BR2 RNA-Seq,RNA-Seq
GSE66232,GSM1617778,Trim33 KD RNA-Seq rep1,RNA-Seq
GSE66232,GSM1617779,Control KD RNA-Seq rep1,RNA-Seq
GSE66232,GSM1617780,Trim33 KD RNA-Seq rep2,RNA-Seq
GSE66232,GSM1617781,Control KD RNA-Seq rep2,RNA-Seq
GSE72628,GSM1866962,LSK WT BR1 RNA-Seq,RNA-Seq
GSE72628,GSM1866963,LSK WT BR2 RNA-Seq,RNA-Seq
GSE72628,GSM1866964,LSK DKO BR1 RNA-Seq,RNA-Seq
GSE72628,GSM1866965,LSK DKO BR2 RNA-Seq,RNA-Seq
GSE29898,GSM740322,RNA-Seq Cultured white pre-adipocytes,RNA-Seq
GSE29898,GSM740323,RNA-Seq Cultured white adipocytes,RNA-Seq
GSE29898,GSM740324,RNA-Seq Cultured brown pre-adipocytes,RNA-Seq
GSE29898,GSM740325,RNA-Seq Cultured brown adipocytes,RNA-Seq
GSE29898,GSM740326,RNA-Seq Primary white adipocytes,RNA-Seq
GSE29898,GSM740327,RNA-Seq Primary brown adipocytes,RNA-Seq
GSE36232,GSM884353,Control VMB RNA-Seq,RNA-Seq
GSE36232,GSM884354,Paraquat VMB RNA-Seq,RNA-Seq
GSE36232,GSM884355,Pyridaben VMB RNA-Seq,RNA-Seq
GSE36232,GSM884356,Maneb + Paraquat VMB RNA-Seq,RNA-Seq
GSE36232,GSM884357,Control STR RNA-Seq,RNA-Seq
GSE36232,GSM884358,Paraquat STR RNA-Seq,RNA-Seq
GSE36232,GSM884359,Pyridaben STR RNA-Seq,RNA-Seq
GSE36232,GSM884360,Maneb + Paraquat STR RNA-Seq,RNA-Seq
